,Unnamed: 0,num_infected,cities_infected,num_interactions,run,probability_of_flying_day,transmission_rate,initial_infected,passengers_per_flight,effective_contacts,probability_of_flying,reproduction_number
36,36,0.0,0,0,run-20150321-231,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-232,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-233,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-234,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-235,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-236,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-237,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-238,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-239,0.0005,0.043333333333333335,"[[366], [2000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-24,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-240,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-241,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-242,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-243,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-244,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-245,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-246,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-247,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-248,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-249,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-25,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-250,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-251,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-252,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-253,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-254,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-255,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-256,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-257,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-258,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-259,0.0005,0.04666666666666666,"[[366], [2000]]",150,15,0.014891755791629935,0.7
36,36,0.0,0,0,run-20150321-26,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-260,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-261,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-262,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-263,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-264,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-265,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-266,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-267,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-268,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-269,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-27,0.0005,0.043333333333333335,"[[366], [1000]]",150,15,0.014891755791629935,0.65
36,36,0.0,0,0,run-20150321-270,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
36,36,0.0,0,0,run-20150321-271,0.0005,0.05,"[[366], [2000]]",150,15,0.014891755791629935,0.75
